PRICE_PER_NIGHT,TAX_AMOUNT,ACCOM_NAME_EN,ACCOM_TYPE_CODE,BOOKING_PROVIDER_NAME_EN,ROOM_TYPE_CODE,CITY_NAME_EN,REVIEW_SCORE_NAME_EN,STAR_RATING_CODE
9.4,7.05,Elaf Bakkah Hotel,Hotel,BOOKING.COM,Triple Room,Mecca,Very Good,4
9.6,7.2,Park Inn Makkah Al Naseem,Hotel,PRICELINE,Standard Room,Mecca,Very Good,5
9.8,7.35,M Hotel Al Dana Makkah by Millennium,Hotel,HOTELS.COM,Standard Room,Mecca,Very Good,4
9.8,7.35,Park Inn Makkah Al Naseem,Hotel,PRICELINE,Standard Room,Mecca,Very Good,5
10,7.5,Park Inn by Radisson Makkah Thakher Algharbi,Hotel,PRICELINE,Standard Room,Mecca,Very Good,4
10.2,7.65,Elaf Ajyad Hotel,Hotel,PRICELINE,Twin Room,Mecca,Okay,2
10.4,7.8,Wirgan Hotel Al Azizyah,Hotel,PRICELINE,Superior Room,Mecca,Very Good,4
10.4,7.8,Novotel Makkah Thakher City,Hotel,PRICELINE,Superior Room,Mecca,Very Good,4
10.4,7.8,Wirgan Hotel Al Nour,Hotel,HOTELS.COM,Superior Room,Mecca,Very Good,4
10.4,7.8,Novotel Makkah Thakher City,Hotel,HOTELS.COM,Superior Room,Mecca,Very Good,4
10.4,7.8,Novotel Makkah Thakher City,Hotel,BOOKING.COM,Superior Room,Mecca,Very Good,4
10.6,7.95,Elaf Bakkah Hotel,Hotel,BOOKING.COM,Triple Room,Mecca,Very Good,4
10.8,8.1,Qasr Al Sahab Hotel Makkah,Hotel,BOOKING.COM,Deluxe Room,Mecca,Very Good,2
10.8,8.1,Elaf Bakkah Hotel,Hotel,STAYFORLONG,Twin Room,Mecca,Very Good,4
10.8,8.1,Elaf Ajyad Hotel,Hotel,BOOKING.COM,Double Room,Mecca,Okay,2
10.8,8.1,Park Inn by Radisson Makkah Aziziyah,Hotel,KAYAK,Standard Room,Mecca,Very Good,5
